,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Alaska,Alaska,GPE,0.05490196,0.21633987,en,3.40000000,4246931-4,5879400,P,61.21806000,-149.90028000,NORTH-AMERICA,United States,NWN
Slovenia,Slovenia,GPE,-0.09557292,0.41666667,en,3.20000000,4055302-4,3190538,A,46.08333000,15.00000000,EUROPE,Slovenia,WCE
Italy,Italy,GPE,-0.15138154,0.47450029,en,2.70000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Western Europe,Western Europe,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Podravje,Podravje,GPE,0.00000000,0.25000000,en,1.00000000,,0,,,,,,
Carinthia,Carinthia,GPE,-1.00000000,1.00000000,en,1.00000000,4029175-3,10109446,L,46.53005000,14.94999000,EUROPE,Slovenia,WCE
Savinjska,Savinjska,GPE,-1.00000000,1.00000000,en,1.00000000,,12022687,L,46.27009000,15.19543000,EUROPE,Slovenia,WCE
Austria,Austria,GPE,0.00000000,0.00000000,en,1.00000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
