domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
maribor24.si,-0.07534722222222222,0.1065570635538061,0.2638888888888889,0.019641855032959663,2.0
n1info.si,0.1775,0.09781643806413909,0.7,0.32998316455372223,2.0
svet24.si,-0.06145833333333334,0.29020840811197884,0.4135416666666667,0.113431712815342,2.0
racunalniske-novice.com,0.0,1.0,0.0,1.0,1.0
www.dnevnik.si,0.0,1.0,0.0,1.0,1.0
www.gorenjskiglas.si,0.0,1.0,0.0,1.0,1.0
www.metropolitan.si,0.0,1.0,0.0,1.0,1.0
www.rtvslo.si,0.0,1.0,0.0,1.0,1.0
